entry_date,entry,mode,dir,exit_date,exit,pnl_usd,return_pct,bars_held,tp1,reason,asset
2021-03-29 08:00:00,1765.7014319999998,STRONG_BULL_TREND,LONG,2021-04-18 00:00:00,2018.30046710548,394.2705,13.2894,118,True,be_stop,ETH
2021-04-22 08:00:00,2546.7357599999996,STRONG_BULL_TREND,LONG,2021-05-17 00:00:00,3218.4395261253735,468.6156,22.2058,148,True,be_stop,ETH
2021-07-23 20:00:00,2125.9494,TREND,LONG,2021-07-27 00:00:00,2171.071752,197.334,5.501,19,True,be_stop,ETH
2021-07-30 20:00:00,2463.779448,STRONG_BULL_TREND,LONG,2021-09-07 12:00:00,3324.408451177403,1170.5342,29.4548,232,True,be_stop,ETH
2021-09-15 12:00:00,3500.9385119999997,STRONG_BULL_TREND,LONG,2021-09-19 08:00:00,3323.529048,-257.7329,-5.0675,23,False,ema_exit,ETH
2021-10-01 08:00:00,3238.0783919999994,TREND,LONG,2021-10-10 20:00:00,3411.4886239999996,345.6675,7.5368,57,True,be_stop,ETH
2021-10-14 00:00:00,3645.9143999999997,STRONG_BULL_TREND,LONG,2021-11-16 00:00:00,4306.132336,822.3363,15.9073,198,True,be_stop,ETH
2021-11-16 04:00:00,4315.559687999999,DIP,LONG,2021-11-17 00:00:00,4078.201631884632,-310.0695,-5.5001,5,False,dip_stop,ETH
2021-11-25 12:00:00,4479.230519999999,STRONG_BULL_TREND,LONG,2021-11-26 08:00:00,3982.251648,-627.5664,-11.0952,5,False,risk_cap,ETH
2021-11-30 08:00:00,4594.142376,STRONG_BULL_TREND,LONG,2021-12-03 16:00:00,4225.426952000001,-406.1055,-8.0258,20,False,ema_exit,ETH
2022-02-07 04:00:00,3081.9435839999996,TREND,LONG,2022-02-11 16:00:00,2987.294897021363,-135.9934,-3.0711,27,False,risk_cap,ETH
2022-03-17 12:00:00,2803.5910799999997,TREND,LONG,2022-03-31 16:00:00,3259.814028242792,627.1677,14.5656,85,True,be_stop,ETH
2022-04-19 12:00:00,3113.0084159999997,TREND,LONG,2022-04-20 12:00:00,3065.8453600000003,-73.786,-1.515,6,False,ema_exit,ETH
2022-07-15 16:00:00,1267.343064,TREND,LONG,2022-07-25 16:00:00,1470.9330712557894,801.1678,16.6776,60,True,be_stop,ETH
2022-07-28 12:00:00,1729.6926479999997,STRONG_BULL_TREND,LONG,2022-08-19 04:00:00,1743.234296,148.7261,4.0379,130,True,be_stop,ETH
2022-09-09 04:00:00,1706.293944,TREND,LONG,2022-09-13 12:00:00,1593.17444,-375.15,-6.6295,26,False,risk_cap,ETH
2022-10-25 12:00:00,1409.42664,TREND,LONG,2022-10-25 16:00:00,1425.296635170995,59.9153,1.126,1,False,risk_cap,ETH
